data;horario;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;mortos
13/01/2021;03:45:00;3 - Acidente com Danos Materiais;26;BR-116/PR;Norte;Saida de Pista;
13/01/2021;10:24:00;2 - Acidente com VITIMA;16,9;BR-116/PR;Norte;Capotamento;
13/01/2021;10:43:00;2 - Acidente com VITIMA;0,1;BR-116/PR;Norte;Capotamento;
13/01/2021;12:25:00;3 - Acidente com Danos Materiais;26;BR-116/PR;Norte;Saida de Pista;
13/01/2021;14:21:00;3 - Acidente com Danos Materiais;7;BR-116/PR;Sul;Choque - Elemento de Drenagem;
13/01/2021;14:44:00;3 - Acidente com Danos Materiais;39,2;BR-116/PR;Sul;Capotamento;
13/01/2021;15:03:00;3 - Acidente com Danos Materiais;38,5;BR-116/PR;Sul;Capotamento;
13/01/2021;15:14:00;3 - Acidente com Danos Materiais;7;BR-116/PR;Sul;Colisão Traseira;
13/01/2021;15:21:00;3 - Acidente com Danos Materiais;26;BR-116/PR;Norte;Capotamento;
13/01/2021;15:57:00;3 - Acidente com Danos Materiais;1,2;BR-116/PR;Sul;Saida de Pista;
13/01/2021;16:45:00;3 - Acidente com Danos Materiais;55,4;BR-116/PR;Norte;Choque - Elemento de Drenagem;
13/01/2021;17:14:00;3 - Acidente com Danos Materiais;2;BR-116/PR;Norte;Tombamento;
13/01/2021;17:28:00;3 - Acidente com Danos Materiais;47;BR-116/PR;Norte;Saida de Pista;
13/01/2021;18:35:00;2 - Acidente com VITIMA;46,9;BR-116/PR;Norte;Colisão Traseira;
12/01/2021;00:28:00;3 - Acidente com Danos Materiais;39;BR-116/PR;Sul;Choque - Talude;
11/01/2021;00:27:00;2 - Acidente com VITIMA;38;BR-116/PR;Sul;Capotamento;
11/01/2021;02:52:00;3 - Acidente com Danos Materiais;46,3;BR-116/PR;Norte;Saida de Pista;
11/01/2021;03:20:00;3 - Acidente com Danos Materiais;33,5;BR-116/PR;Norte;Queda de Moto;
11/01/2021;06:25:00;3 - Acidente com Danos Materiais;16;BR-116/PR;Sul;Saida de Pista;
11/01/2021;07:22:00;2 - Acidente com VITIMA;46,9;BR-116/PR;Norte;Choque - Elemento de Drenagem;
11/01/2021;07:44:00;3 - Acidente com Danos Materiais;50,8;BR-116/PR;Sul;Capotamento;
10/01/2021;13:46:00;3 - Acidente com Danos Materiais;42,1;BR-116/PR;Sul;Choque - Poste;
10/01/2021;13:59:00;2 - Acidente com VITIMA;44,3;BR-116/PR;Sul;Capotamento;
10/01/2021;15:58:00;3 - Acidente com Danos Materiais;58,2;BR-116/PR;Norte;Colisão Lateral;
10/01/2021;20:35:00;3 - Acidente com Danos Materiais;57,2;BR-116/PR;Sul;Colisão Traseira;
09/01/2021;02:07:00;3 - Acidente com Danos Materiais;3;BR-116/PR;Norte;Saida de Pista;
09/01/2021;17:57:00;3 - Acidente com Danos Materiais;13,3;BR-116/PR;Norte;Tombamento;
08/01/2021;15:33:00;3 - Acidente com Danos Materiais;16,9;BR-116/PR;Norte;Capotamento;
08/01/2021;16:14:00;3 - Acidente com Danos Materiais;45,1;BR-116/PR;Sul;Choque - Suporte de Sinalização;
08/01/2021;17:28:00;3 - Acidente com Danos Materiais;67,1;BR-116/PR;Norte;Saida de Pista;
08/01/2021;18:37:00;3 - Acidente com Danos Materiais;7;BR-116/PR;Sul;Colisão Traseira;
08/01/2021;23:53:00;3 - Acidente com Danos Materiais;45,5;BR-116/PR;Sul;Capotamento;
07/01/2021;20:30:00;3 - Acidente com Danos Materiais;54,2;BR-116/PR;Norte;Colisão Traseira;
06/01/2021;03:31:00;2 - Acidente com VITIMA;16,9;BR-116/PR;Norte;Saida de Pista;
06/01/2021;05:43:00;3 - Acidente com Danos Materiais;61,3;BR-116/PR;Sul;Colisão Lateral;
06/01/2021;06:22:00;3 - Acidente com Danos Materiais;44,05;BR-116/PR;Sul;Saida de Pista;
05/01/2021;00:33:00;3 - Acidente com Danos Materiais;0,2;BR-116/PR;Sul;Tombamento;
05/01/2021;10:33:00;3 - Acidente com Danos Materiais;57;BR-116/PR;Sul;Colisão Traseira;
05/01/2021;16:59:00;3 - Acidente com Danos Materiais;65,7;BR-116/PR;Sul;Colisão Traseira;
05/01/2021;22:21:00;3 - Acidente com Danos Materiais;14,07;BR-116/PR;Norte;Saida de Pista;
03/01/2021;14:26:00;3 - Acidente com Danos Materiais;0,2;BR-116/PR;Sul;Capotamento;
03/01/2021;16:05:00;2 - Acidente com VITIMA;46,9;BR-116/PR;Norte;Capotamento;
03/01/2021;16:40:00;3 - Acidente com Danos Materiais;38,5;BR-116/PR;Sul;Saida de Pista;
03/01/2021;17:23:00;2 - Acidente com VITIMA;39,3;BR-116/PR;Sul;Colisão Lateral;
03/01/2021;17:49:00;3 - Acidente com Danos Materiais;26,15;BR-116/PR;Norte;Saida de Pista;
03/01/2021;18:34:00;3 - Acidente com Danos Materiais;39,2;BR-116/PR;Sul;Capotamento;
03/01/2021;18:37:00;3 - Acidente com Danos Materiais;42,2;BR-116/PR;Sul;Choque - Poste;
03/01/2021;19:17:00;2 - Acidente com VITIMA;38,4;BR-116/PR;Sul;Capotamento;
03/01/2021;21:40:00;2 - Acidente com VITIMA;19,9;BR-116/PR;Norte;Capotamento;
02/01/2021;07:16:00;2 - Acidente com VITIMA;38,065;BR-116/PR;Sul;Capotamento;
02/01/2021;07:37:00;3 - Acidente com Danos Materiais;40,2;BR-116/PR;Norte;Capotamento;
02/01/2021;07:46:00;2 - Acidente com VITIMA;38,065;BR-116/PR;Norte;Colisão Lateral;
02/01/2021;09:21:00;2 - Acidente com VITIMA;17;BR-116/PR;Norte;Saida de Pista;
02/01/2021;09:21:00;3 - Acidente com Danos Materiais;17;BR-116/PR;Norte;Saida de Pista;
02/01/2021;09:25:00;2 - Acidente com VITIMA;17;BR-116/PR;Sul;Saida de Pista;
02/01/2021;11:29:00;2 - Acidente com VITIMA;14,1;BR-116/PR;Norte;Saida de Pista;
02/01/2021;11:42:00;3 - Acidente com Danos Materiais;5,5;BR-116/PR;Norte;Capotamento;
02/01/2021;11:46:00;3 - Acidente com Danos Materiais;14,1;BR-116/PR;Norte;Choque - Talude;
02/01/2021;12:40:00;3 - Acidente com Danos Materiais;16,8;BR-116/PR;Sul;Saida de Pista;
02/01/2021;13:21:00;3 - Acidente com Danos Materiais;15,5;BR-116/PR;Sul;Choque - Talude;
02/01/2021;17:35:00;3 - Acidente com Danos Materiais;46,9;BR-116/PR;Norte;Saida de Pista;
02/01/2021;20:50:00;2 - Acidente com VITIMA;26,9;BR-116/PR;Sul;Saida de Pista;
02/01/2021;22:26:00;3 - Acidente com Danos Materiais;43,3;BR-116/PR;Sul;Capotamento;
02/01/2021;23:33:00;3 - Acidente com Danos Materiais;38,4;BR-116/PR;Sul;Tombamento;
01/01/2021;07:56:00;3 - Acidente com Danos Materiais;16,8;BR-116/PR;Norte;Saida de Pista;
01/01/2021;08:05:00;3 - Acidente com Danos Materiais;16,8;BR-116/PR;Norte;Capotamento;
01/01/2021;11:36:00;3 - Acidente com Danos Materiais;14,1;BR-116/PR;Norte;Saida de Pista;
01/01/2021;11:46:00;3 - Acidente com Danos Materiais;16,9;BR-116/PR;Norte;Saida de Pista;
01/01/2021;12:16:00;2 - Acidente com VITIMA;4,1;BR-116/PR;Sul;Capotamento;
01/01/2021;12:49:00;3 - Acidente com Danos Materiais;5,5;BR-116/PR;Norte;Choque - Poste;
01/01/2021;13:14:00;3 - Acidente com Danos Materiais;16,8;BR-116/PR;Sul;Capotamento;
01/01/2021;14:02:00;3 - Acidente com Danos Materiais;14,5;BR-116/PR;Norte;Choque - Poste;
01/01/2021;14:35:00;3 - Acidente com Danos Materiais;1,05;BR-116/PR;Sul;Saida de Pista;
01/01/2021;15:01:00;3 - Acidente com Danos Materiais;7,5;BR-116/PR;Norte;Colisão Lateral;
01/01/2021;15:36:00;3 - Acidente com Danos Materiais;9,1;BR-116/PR;Sul;Choque - Suporte de Sinalização;
01/01/2021;15:37:00;3 - Acidente com Danos Materiais;14,5;BR-116/PR;Norte;Capotamento;
01/01/2021;16:16:00;3 - Acidente com Danos Materiais;14,9;BR-116/PR;Sul;Capotamento;
01/01/2021;17:15:00;3 - Acidente com Danos Materiais;9,1;BR-116/PR;Norte;Capotamento;
01/01/2021;17:25:00;3 - Acidente com Danos Materiais;26;BR-116/PR;Norte;Choque - Outros;
01/01/2021;17:29:00;3 - Acidente com Danos Materiais;14,5;BR-116/PR;Sul;Capotamento;
01/01/2021;18:37:00;3 - Acidente com Danos Materiais;16,3;BR-116/PR;Norte;Choque - Talude;
01/01/2021;19:57:00;3 - Acidente com Danos Materiais;26;BR-116/PR;Sul;Saida de Pista;
01/01/2021;20:51:00;1 - Acidente com Vitima Fatal;58,7;BR-116/PR;Sul;Atropelamento - Andarilho;1
01/01/2021;04:31:00;2 - Acidente com VITIMA;453,9;BR-116/SP;Sul;Tombamento;
